%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536591219198165766,-0.00215478645351,0.0105144337868,0.0,0.0,0.0,-0.00694229892304
1536591219198214153,-0.00211678132841,0.0104208332488,0.0,0.0,0.0,-0.0121984622902
1536591219238966450,-0.00212990326746,0.0104547568523,0.0,0.0,0.0,-0.0123082448621
1536591219238988844,-0.00212642075926,0.0104435090619,0.0,0.0,0.0,-0.00197822435824
1536591219239088619,-0.00212589328806,0.0104424694026,0.0,0.0,0.0,-0.00420728377083
1536591219239092703,-0.00212484686513,0.0104399930838,0.0,0.0,0.0,-0.00403271672774
1536591219239097495,-0.00212321590085,0.0104359628442,0.0,0.0,0.0,-0.00525562100698
1536591219278672171,-0.00209375654073,0.0103593989813,0.0,0.0,0.0,-0.00737124610661
1536591219279108112,-0.00210991485243,0.010398078071,0.0,0.0,0.0,-0.0208530335546
1536591219279368094,-0.00210649654707,0.0103835643167,0.0,0.0,0.0,-0.00719513310398
1536591219286906295,-0.00210400773536,0.010368905309,0.0,0.0,0.0,-0.0063543961243
1536591219334600491,-0.0020960060576,0.0102790032591,0.0,0.0,0.0,-0.0115434168065
1536591219374978278,-0.00209649049042,0.0102818973219,0.0,0.0,0.0,-0.0216605997379
1536591219375023339,-0.0020989862223,0.0103054584663,0.0,0.0,0.0,-0.010812211853
1536591219426808652,-0.00208518935337,0.0101558981482,0.0,0.0,0.0,-0.0117683220168
1536591219469502452,-0.00208449316581,0.0101439780943,0.0,0.0,0.0,-0.00816707047513
1536591219507348574,-0.00208130525098,0.010119840479,0.0,0.0,0.0,-0.00761535179086
1536591219546041457,-0.00208306496269,0.0101565698185,0.0,0.0,0.0,-0.0171868369611
1536591219546051606,-0.00208164752127,0.0101518274072,0.0,0.0,0.0,-0.0127586505648
1536591219546364764,-0.00207430606014,0.0101264492328,0.0,0.0,0.0,-0.0128100745176
1536591219546566973,-0.00206757935869,0.0101150553744,0.0,0.0,0.0,0.000878143552231
1536591219546695862,-0.00206855829507,0.0101183627636,0.0,0.0,0.0,-0.0100004450133
1536591219587283321,-0.00206493918334,0.0101094227315,0.0,0.0,0.0,-0.0184680144421
1536591219587514637,-0.00206473170171,0.010108354332,0.0,0.0,0.0,-0.013526986899
1536591219587919009,-0.00206195316737,0.0101004610016,0.0,0.0,0.0,-0.0150755026822
1536591219588241886,-0.0020632856645,0.0101041293458,0.0,0.0,0.0,-0.0105404849171
1536591219628061900,-0.00201642592656,0.00996179596069,0.0,0.0,0.0,-0.00619364557453
1536591219632650936,-0.00204190684648,0.010037251713,0.0,0.0,0.0,-0.0227358911639
1536591219671507011,-0.00203754578178,0.0100220858199,0.0,0.0,0.0,-0.0109950854607
1536591219671577821,-0.00203868792125,0.0100264175605,0.0,0.0,0.0,-0.00764378809786
1536591219671952468,-0.00203733810824,0.0100221130704,0.0,0.0,0.0,-0.00766208811905
1536591219671996264,-0.00203628367592,0.0100193335234,0.0,0.0,0.0,-0.00834321230337
1536591219672491439,-0.00203500190507,0.0100159549644,0.0,0.0,0.0,-0.00935727621232
1536591219672570434,-0.00203365532423,0.0100124898911,0.0,0.0,0.0,-0.0134401437993
1536591219710682580,-0.00203009525829,0.0100040260497,0.0,0.0,0.0,-0.0214847015208
1536591219710699417,-0.00201253352983,0.00996232058902,0.0,0.0,0.0,-0.0186378419025
1536591219726008500,-0.00199648522661,0.00993898326153,0.0,0.0,0.0,0.00148520802971
1536591219730569120,-0.00200776526971,0.00996076672372,0.0,0.0,0.0,-0.0319855149024
1536591219770226371,-0.00200601023699,0.00995794067131,0.0,0.0,0.0,-0.0176553456686
1536591219770433344,-0.00200405280787,0.00995481234246,0.0,0.0,0.0,-0.0140832472331
1536591219770542508,-0.00200210798973,0.0099517329032,0.0,0.0,0.0,-0.0125477704227
1536591219810978132,-0.00196786239825,0.00989046404079,0.0,0.0,0.0,-0.00837585791082
1536591219811157171,-0.00198673679904,0.00992096994932,0.0,0.0,0.0,0.00491733696713
1536591219811165153,-0.00198538029869,0.00991698089145,0.0,0.0,0.0,-0.014736789845
1536591219811176754,-0.00198450709799,0.00991439864692,0.0,0.0,0.0,-0.0147213293033
1536591219811267736,-0.0019812198596,0.00990505021323,0.0,0.0,0.0,-0.0186633281129
1536591219860528648,-0.0019482567259,0.00981514956855,0.0,0.0,0.0,-0.0208695203341
1536591219868792055,-0.00196490299537,0.00986024881341,0.0,0.0,0.0,-0.0124504685693
1536591219906354039,-0.00195094693917,0.00981344300754,0.0,0.0,0.0,-0.00440579025247
1536591219949058491,-0.00194133515298,0.00975861566585,0.0,0.0,0.0,-0.00144840268343
1536591219986527485,-0.00195053589087,0.00979886159786,0.0,0.0,0.0,-0.0149307887863
1536591219986542401,-0.00194433861254,0.0097689127743,0.0,0.0,0.0,-0.0144092777958
1536591219986637276,-0.00194736298778,0.00978369132161,0.0,0.0,0.0,-0.0146186906047
1536591220026839971,-0.00194567479599,0.00977569967642,0.0,0.0,0.0,-0.0147781199631
1536591220077524808,-0.00190713424123,0.00964116981445,0.0,0.0,0.0,-0.00209091878008
1536591220114444768,-0.00192498334241,0.00971517201779,0.0,0.0,0.0,-0.000529901223037
1536591220114461120,-0.00191997216213,0.00970705374745,0.0,0.0,0.0,-0.0116971856682
1536591220114748297,-0.00191088137058,0.00969193419432,0.0,0.0,0.0,-0.0221824033854
1536591220154915922,-0.00191234945757,0.00969386203053,0.0,0.0,0.0,-0.00949949665843
1536591220154973829,-0.00191356357235,0.00969578085095,0.0,0.0,0.0,-0.00839807335674
1536591220155227112,-0.00191155052222,0.009692015323,0.0,0.0,0.0,-0.00937791355061
1536591220155254438,-0.00191024063914,0.00968090551757,0.0,0.0,0.0,-0.0172866350533
1536591220155259934,-0.00191135725596,0.00968495985803,0.0,0.0,0.0,-0.0138132493636
1536591220194865754,-0.00190978353347,0.00967391598561,0.0,0.0,0.0,-0.0111197552596
1536591220194960625,-0.00190995678483,0.00967315780603,0.0,0.0,0.0,-0.0113828176464
1536591220194966254,-0.00191053391609,0.00967403748534,0.0,0.0,0.0,-0.00352834352255
1536591220197214971,-0.00190964324232,0.00965271413662,0.0,0.0,0.0,-0.0124182508083
1536591220202754944,-0.00190986868538,0.00966110807452,0.0,0.0,0.0,-0.0138047736437
1536591220242216297,-0.00190944007527,0.00965426528079,0.0,0.0,0.0,-0.0204825433198
1536591220242231292,-0.00190952699036,0.0096552859995,0.0,0.0,0.0,-0.0118585248802
1536591220242235678,-0.00190935339151,0.00965349637647,0.0,0.0,0.0,-0.0116998724163
1536591220242239593,-0.00190905742686,0.00965116618989,0.0,0.0,0.0,-0.00787342683279
1536591220242267857,-0.00190777779338,0.00963968334389,0.0,0.0,0.0,-0.00994203955794
1536591220284946184,-0.00190495954046,0.00963571961279,0.0,0.0,0.0,-0.018116782709
1536591220284984831,-0.00190253981827,0.00962885533963,0.0,0.0,0.0,-0.0155806921553
1536591220284990389,-0.00189888371981,0.00961966422459,0.0,0.0,0.0,-0.0166077038355
1536591220285032791,-0.00190071084505,0.00962512635973,0.0,0.0,0.0,-0.0157355766388
1536591220285066412,-0.00189940349212,0.00962207959079,0.0,0.0,0.0,-0.0161892436633
1536591220290971607,-0.0018965132432,0.00961543636832,0.0,0.0,0.0,-0.01508321489
1536591220341655868,-0.00187168417,0.00955902947326,0.0,0.0,0.0,-0.0130084403125
1536591220380826715,-0.00188453619261,0.00958977665931,0.0,0.0,0.0,-0.0169691726743
1536591220384746007,-0.0018833018984,0.00958747273297,0.0,0.0,0.0,-0.0156346889296
1536591220385104700,-0.00188230782267,0.00958496148733,0.0,0.0,0.0,-0.00491667385
