%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1536590863050367982,0.0158379702013,-0.0129931622755,0.1,0.0,0.0,-0.1
1536590863050446845,0.0066688168494,-0.00547245731734,0.1,0.0,0.0,-0.0862075655406
1536590863050467301,0.00676146372028,-0.00554962492323,0.1,0.0,0.0,-0.0849670138521
1536590863050530932,0.0068540261795,-0.00562597689461,0.1,0.0,0.0,-0.0846056987491
1536590863050536821,0.00694692158768,-0.00570279702082,0.1,0.0,0.0,-0.0799434941128
1536590863050556456,0.00704054466987,-0.00578292322041,0.1,0.0,0.0,-0.082524342605
1536590863090548109,0.00713310746329,-0.00585755134835,0.1,0.0,0.0,-0.0866551923615
1536590863090663844,0.00722640195769,-0.00593456275919,0.1,0.0,0.0,-0.0885323302751
1536590863090670294,0.00732082559782,-0.00601291991645,0.1,0.0,0.0,-0.0898196659301
1536590863090885126,0.00741317188047,-0.00608832382744,0.1,0.0,0.0,-0.0893484258825
1536590863091091392,0.00750646966015,-0.00616504367694,0.1,0.0,0.0,-0.0897348693727
1536590863091275292,0.00759959950593,-0.00624172548452,0.1,0.0,0.0,-0.0873841175351
1536590863091500896,0.00769269252842,-0.00631838795095,0.1,0.0,0.0,-0.0863338844747
1536590863130543298,0.00778582015314,-0.00639512566368,0.1,0.0,0.0,-0.0852185031248
1536590863130557305,0.00788152553011,-0.00647534140194,0.1,0.0,0.0,-0.0834281147847
1536590863130561903,0.00797334162281,-0.00655037740142,0.1,0.0,0.0,-0.0837899463128
1536590863130566976,0.00806639759473,-0.00662711724792,0.1,0.0,0.0,-0.0823344928972
1536590863130571434,0.0081596756958,-0.00670416440319,0.1,0.0,0.0,-0.08352009422
1536590863130670789,0.00825426821598,-0.00678333868952,0.1,0.0,0.0,-0.0847895767974
1536590863135010551,0.00834675425051,-0.00685891450733,0.1,0.0,0.0,-0.0886278816851
1536590863137599147,0.00844007887025,-0.00693583939721,0.1,0.0,0.0,-0.0874656384883
1536590863174846742,0.00853392609156,-0.00701270725871,0.1,0.0,0.0,-0.0926176637242
1536590863174886979,0.00863203060257,-0.00709325374383,0.1,0.0,0.0,-0.0875378399609
1536590863174891535,0.00872272851315,-0.00716805219679,0.1,0.0,0.0,-0.0839705036115
1536590863174894067,0.00881585562475,-0.00724493721612,0.1,0.0,0.0,-0.0803073077863
1536590863174896819,0.00890925610377,-0.00732248881519,0.1,0.0,0.0,-0.079049104608
1536590863213988694,0.00900167753279,-0.00739957389322,0.1,0.0,0.0,-0.0639276207046
1536590863215217927,0.00909486798964,-0.00747619491894,0.1,0.0,0.0,-0.0752556198131
1536590863215225456,0.00918831537651,-0.00755324742981,0.1,0.0,0.0,-0.077423443785
1536590863215228626,0.00928179434759,-0.00763009111731,0.1,0.0,0.0,-0.0760209460493
1536590863215231308,0.00937570919759,-0.00770719641847,0.1,0.0,0.0,-0.0783418468519
1536590863215233879,0.00946936094766,-0.00778396477199,0.1,0.0,0.0,-0.0777741215041
1536590863215236685,0.00956311218355,-0.00786075362494,0.1,0.0,0.0,-0.0769499017352
1536590863215239254,0.00965638148789,-0.00793745764721,0.1,0.0,0.0,-0.077804965435
1536590863215242004,0.00974956212862,-0.00801416631615,0.1,0.0,0.0,-0.0755951456798
1536590863254410259,0.00984202602255,-0.00809048780294,0.1,0.0,0.0,-0.0719294888908
1536590863254413661,0.00993469777543,-0.00816693966512,0.1,0.0,0.0,-0.0713567420525
1536590863254416450,0.0100271946837,-0.00824338383558,0.1,0.0,0.0,-0.0707726662723
