%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1177674000000,0.0,0.0,0.0,0.0,0.0,0.0
1177684000000,0.0,0.0,0.0,0.0,0.0,0.0
1177695000000,0.0,0.0,0.0,0.0,0.0,0.0
1177704000000,0.0,0.0,0.0,0.0,0.0,0.0
1177713000000,0.0,0.0,0.0,0.0,0.0,0.0
1177724000000,0.0,0.0,0.0,0.0,0.0,0.0
1177733000000,0.0,0.0,0.0,0.0,0.0,0.0
1177743000000,0.0,0.0,0.0,0.0,0.0,0.0
1177754000000,0.0,0.0,0.0,0.0,0.0,0.0
1177763000000,0.0,0.0,0.0,0.0,0.0,0.0
1177773000000,0.0,0.0,0.0,0.0,0.0,0.0
1177784000000,0.0,0.0,0.0,0.0,0.0,0.0
1177793000000,0.0,0.0,0.0,0.0,0.0,0.0
1177804000000,0.0,0.0,0.0,0.0,0.0,0.0
1177813000000,0.0,0.0,0.0,0.0,0.0,0.0
1177823000000,0.0,0.0,0.0,0.0,0.0,0.0
1177836000000,0.0,0.0,0.0,0.0,0.0,0.0
1177843000000,0.0,0.0,0.0,0.0,0.0,0.0
1177854000000,0.0,0.0,0.0,0.0,0.0,0.0
1177864000000,0.0,0.0,0.0,0.0,0.0,0.0
1177873000000,0.0,0.0,0.0,0.0,0.0,0.0
1177884000000,0.0,0.0,0.0,0.0,0.0,0.0
1177893000000,0.0,0.0,0.0,0.0,0.0,0.0
1177904000000,0.0,0.0,0.0,0.0,0.0,0.0
1177915000000,0.0,0.0,0.0,0.0,0.0,0.0
1177923000000,0.0,0.0,0.0,0.0,0.0,0.0
1177934000000,0.0,0.0,0.0,0.0,0.0,0.0
1177943000000,0.0,0.0,0.0,0.0,0.0,0.0
1177953000000,0.0,0.0,0.0,0.0,0.0,0.0
1177963000000,0.0,0.0,0.0,0.0,0.0,0.0
1177973000000,0.0,0.0,0.0,0.0,0.0,0.0
1177983000000,0.0,0.0,0.0,0.0,0.0,0.0
1177993000000,0.0,0.0,0.0,0.0,0.0,0.0
1178004000000,0.0,0.0,0.0,0.0,0.0,0.0
1178014000000,0.0,0.0,0.0,0.0,0.0,0.0
1178025000000,0.0,0.0,0.0,0.0,0.0,0.0
1178035000000,0.0,0.0,0.0,0.0,0.0,0.0
1178043000000,0.0,0.0,0.0,0.0,0.0,0.0
1178054000000,0.0,0.0,0.0,0.0,0.0,0.0
1178064000000,0.0,0.0,0.0,0.0,0.0,0.0
1178074000000,0.0,0.0,0.0,0.0,0.0,0.0
1178083000000,0.0,0.0,0.0,0.0,0.0,0.0
1178092000000,0.0,0.0,0.0,0.0,0.0,0.0
1178103000000,0.0,0.0,0.0,0.0,0.0,0.0
1178113000000,0.0,0.0,0.0,0.0,0.0,0.0
1178123000000,0.0,0.0,0.0,0.0,0.0,0.0
1178133000000,0.0,0.0,0.0,0.0,0.0,0.0
1178143000000,0.0,0.0,0.0,0.0,0.0,0.0
1178153000000,0.0,0.0,0.0,0.0,0.0,0.0
1178164000000,0.0,0.0,0.0,0.0,0.0,0.0
1178173000000,0.0,0.0,0.0,0.0,0.0,0.0
1178183000000,0.0,0.0,0.0,0.0,0.0,0.0
1178196000000,0.0,0.0,0.0,0.0,0.0,0.0
1178205000000,0.0,0.0,0.0,0.0,0.0,0.0
1178213000000,0.0,0.0,0.0,0.0,0.0,0.0
1178224000000,0.0,0.0,0.0,0.0,0.0,0.0
1178235000000,0.0,0.0,0.0,0.0,0.0,0.0
1178244000000,0.0,0.0,0.0,0.0,0.0,0.0
1178254000000,0.0,0.0,0.0,0.0,0.0,0.0
1178266000000,0.0,0.0,0.0,0.0,0.0,0.0
1178273000000,0.0,0.0,0.0,0.0,0.0,0.0
1178285000000,0.0,0.0,0.0,0.0,0.0,0.0
1178294000000,0.0,0.0,0.0,0.0,0.0,0.0
1178303000000,0.0,0.0,0.0,0.0,0.0,0.0
1178313000000,0.0,0.0,0.0,0.0,0.0,0.0
1178323000000,0.0,0.0,0.0,0.0,0.0,0.0
1178333000000,0.0,0.0,0.0,0.0,0.0,0.0
1178343000000,0.0,0.0,0.0,0.0,0.0,0.0
1178354000000,0.0,0.0,0.0,0.0,0.0,0.0
1178363000000,0.0,0.0,0.0,0.0,0.0,0.0
1178374000000,0.0,0.0,0.0,0.0,0.0,0.0
1178385000000,0.0,0.0,0.0,0.0,0.0,0.0
1178393000000,0.0,0.0,0.0,0.0,0.0,0.0
1178400000000,0.0,0.0,0.0,0.0,0.0,0.0
1178413000000,0.0,0.0,0.0,0.0,0.0,0.0
1178423000000,0.0,0.0,0.0,0.0,0.0,0.0
1178433000000,0.0,0.0,0.0,0.0,0.0,0.0
1178444000000,0.0,0.0,0.0,0.0,0.0,0.0
1178453000000,0.0,0.0,0.0,0.0,0.0,0.0
1178463000000,0.0,0.0,0.0,0.0,0.0,0.0
1178476000000,0.0,0.0,0.0,0.0,0.0,0.0
1178484000000,0.0,0.0,0.0,0.0,0.0,0.0
1178493000000,0.0,0.0,0.0,0.0,0.0,0.0
1178503000000,0.0,0.0,0.0,0.0,0.0,0.0
1178513000000,0.0,0.0,0.0,0.0,0.0,0.0
1178524000000,0.0,0.0,0.0,0.0,0.0,0.0
1178539000000,0.0,0.0,0.0,0.0,0.0,0.0
1178542000000,0.0,0.0,0.0,0.0,0.0,0.0
1178553000000,0.0,0.0,0.0,0.0,0.0,0.0
1178563000000,0.0,0.0,0.0,0.0,0.0,0.0
1178578000000,0.0,0.0,0.0,0.0,0.0,0.0
1178583000000,0.0,0.0,0.0,0.0,0.0,0.0
1178595000000,0.0,0.0,0.0,0.0,0.0,0.0
1178604000000,0.0,0.0,0.0,0.0,0.0,0.0
1178615000000,0.0,0.0,0.0,0.0,0.0,0.0
1178623000000,0.0,0.0,0.0,0.0,0.0,0.0
1178633000000,0.0,0.0,0.0,0.0,0.0,0.0
1178646000000,0.0,0.0,0.0,0.0,0.0,0.0
1178654000000,0.0,0.0,0.0,0.0,0.0,0.0
1178669000000,0.0,0.0,0.0,0.0,0.0,0.0
1178673000000,0.0,0.0,0.0,0.0,0.0,0.0
1178683000000,0.0,0.0,0.0,0.0,0.0,0.0
1178695000000,0.0,0.0,0.0,0.0,0.0,0.0
1178704000000,0.0,0.0,0.0,0.0,0.0,0.0
1178714000000,0.0,0.0,0.0,0.0,0.0,0.0
1178723000000,0.0,0.0,0.0,0.0,0.0,0.0
1178733000000,0.0,0.0,0.0,0.0,0.0,0.0
1178743000000,0.0,0.0,0.0,0.0,0.0,0.0
1178754000000,0.0,0.0,0.0,0.0,0.0,0.0
1178766000000,0.0,0.0,0.0,0.0,0.0,0.0
1178774000000,0.0,0.0,0.0,0.0,0.0,0.0
1178785000000,0.0,0.0,0.0,0.0,0.0,0.0
1178794000000,0.0,0.0,0.0,0.0,0.0,0.0
1178806000000,0.0,0.0,0.0,0.0,0.0,0.0
1178813000000,0.0,0.0,0.0,0.0,0.0,0.0
1178823000000,0.0,0.0,0.0,0.0,0.0,0.0
1178832000000,0.0,0.0,0.0,0.0,0.0,0.0
1178843000000,0.0,0.0,0.0,0.0,0.0,0.0
1178855000000,0.0,0.0,0.0,0.0,0.0,0.0
1178863000000,0.0,0.0,0.0,0.0,0.0,0.0
1178873000000,0.0,0.0,0.0,0.0,0.0,0.0
1178884000000,0.0,0.0,0.0,0.0,0.0,0.0
1178894000000,0.0,0.0,0.0,0.0,0.0,0.0
1178903000000,0.0,0.0,0.0,0.0,0.0,0.0
1178913000000,0.0,0.0,0.0,0.0,0.0,0.0
1178923000000,0.0,0.0,0.0,0.0,0.0,0.0
1178934000000,0.0,0.0,0.0,0.0,0.0,0.0
1178943000000,0.0,0.0,0.0,0.0,0.0,0.0
1178953000000,0.0,0.0,0.0,0.0,0.0,0.0
1178963000000,0.0,0.0,0.0,0.0,0.0,0.0
1178973000000,0.0,0.0,0.0,0.0,0.0,0.0
1178985000000,0.0,0.0,0.0,0.0,0.0,0.0
1178993000000,0.0,0.0,0.0,0.0,0.0,0.0
1179004000000,0.0,0.0,0.0,0.0,0.0,0.0
1179014000000,0.0,0.0,0.0,0.0,0.0,0.0
1179025000000,0.0,0.0,0.0,0.0,0.0,0.0
1179033000000,0.0,0.0,0.0,0.0,0.0,0.0
1179046000000,0.0,0.0,0.0,0.0,0.0,0.0
